stateCode,year,min,max
005,1951,29.82,57.13
005,1952,30.28,58.22
005,1953,31.79,59.46
005,1954,32.97,61.69
005,1955,30.02,58.3
005,1956,30.45,59.7
005,1957,31.44,56.8
005,1958,31.75,59.26
005,1959,30.94,58.58
005,1960,30.42,58.02
005,1961,30.41,57.32
005,1962,30.79,59.32
005,1963,32.01,60.34
005,1964,29.58,57.57
005,1965,30.99,57.36
005,1966,30.38,58.86
005,1967,30.98,58.51
005,1968,29.72,57.52
005,1969,31.62,57.72
005,1970,30.61,58.01
005,1971,30.41,57.68
005,1972,31.14,58.02
005,1973,30.12,56.64
005,1974,30.21,58.62
005,1975,29.51,57.52
005,1976,30.36,59.06
005,1977,32.22,60.31
005,1978,31.02,58.04
005,1979,29.91,57.11
005,1980,31.82,59.4
005,1981,33.37,60.78
005,1982,30.88,57.31
005,1983,31.68,57.09
005,1984,30.72,56.62
005,1985,30.93,57.33
005,1986,32.95,59.68
005,1987,31.6,58.88
005,1988,31.1,59.12
005,1989,31.21,59.52
005,1990,31.95,59.24
005,1991,31.48,58.62
005,1992,31.88,58.66
005,1993,30.69,56.98
005,1994,32.6,60.43
005,1995,32.15,59.21
005,1996,31.79,59.74
005,1997,31.58,58.1
005,1998,32.85,59.63
005,1999,32.63,60.66
005,2000,33.02,61.02
005,2001,32.93,60.75
005,2002,31.6,60.53
005,2003,33.07,61.01
005,2004,32.24,59.47
005,2005,32.94,60.6
005,2006,32.48,60.56
005,2007,32.34,60.02
005,2008,30.87,59.0
005,2009,31.56,58.82
005,2010,32.3,59.99
005,2011,31.38,59.46
005,2012,33.69,62.95
005,2013,31.25,58.91
005,2014,32.42,59.71
005,2015,34.11,60.77
005,2016,33.27,61.3
005,2017,34.09,61.76
005,2018,33.02,61.29
005,2019,31.48,59.03
005,2020,32.75,61.78
005,2021,33.47,61.46
005,2022,31.79,60.35
005,2023,12.05,35.01
006,1895,36.12,57.07
006,1896,36.82,56.83
006,1897,37.36,57.18
006,1898,38.5,57.88
006,1899,36.6,57.51
006,1900,37.69,59.14
006,1901,36.77,56.39
006,1902,36.88,57.47
006,1903,36.55,57.22
006,1904,33.85,54.79
006,1905,35.68,56.85
006,1906,37.29,57.98
006,1907,35.21,55.99
006,1908,37.73,58.74
006,1909,37.14,57.6
006,1910,37.07,58.05
006,1911,37.26,58.05
006,1912,36.0,57.1
006,1913,38.56,59.81
006,1914,35.88,56.87
006,1915,37.77,57.96
006,1916,36.38,56.55
006,1917,34.71,54.82
006,1918,36.01,57.69
006,1919,37.87,58.09
006,1920,36.46,56.44
006,1921,38.58,60.07
006,1922,37.52,58.24
006,1923,35.91,57.61
006,1924,35.65,57.02
006,1925,37.36,58.51
006,1926,35.45,55.88
006,1927,37.82,58.01
006,1928,38.08,57.53
006,1929,37.18,58.23
006,1930,38.11,59.13
006,1931,39.43,59.84
006,1932,38.42,59.19
006,1933,38.52,58.28
006,1934,36.87,57.57
006,1935,37.2,57.42
006,1936,37.48,57.88
006,1937,38.65,58.77
006,1938,38.69,59.08
006,1939,37.37,58.11
006,1940,35.99,55.52
006,1941,37.61,59.32
006,1942,38.23,58.29
006,1943,36.98,57.65
006,1944,37.73,58.75
006,1945,37.99,58.54
006,1946,37.93,59.82
006,1947,37.52,58.24
006,1948,37.12,58.46
006,1949,39.86,61.22
006,1950,37.68,58.01
006,1951,38.75,59.21
006,1952,39.29,59.43
006,1953,39.96,61.08
006,1954,38.57,58.77
006,1955,38.53,58.81
006,1956,37.62,57.62
006,1957,38.44,60.0
006,1958,37.11,56.19
006,1959,38.93,59.46
006,1960,37.57,58.38
006,1961,38.18,58.39
006,1962,36.18,57.28
006,1963,36.3,58.12
006,1964,37.01,58.98
006,1965,36.91,58.13
006,1966,37.31,58.59
006,1967,37.14,57.1
006,1968,37.29,58.18
006,1969,38.17,57.75
006,1970,37.69,57.77
006,1971,38.09,58.38
006,1972,37.51,57.05
006,1973,39.89,60.21
006,1974,37.94,58.52
006,1975,39.23,58.88
006,1976,36.95,58.19
006,1977,38.01,58.32
006,1978,36.34,57.09
006,1979,39.27,58.41
006,1980,37.4,58.46
006,1981,38.15,58.65
006,1982,37.33,58.51
006,1983,39.2,59.59
006,1984,38.89,59.0
006,1985,38.44,58.86
006,1986,38.35,58.67
006,1987,38.45,59.24
006,1988,37.76,58.87
006,1989,37.72,58.16
006,1990,40.88,61.24
006,1991,40.43,61.47
006,1992,37.75,57.6
006,1993,38.27,59.02
006,1994,38.38,59.37
006,1995,38.75,59.3
006,1996,38.63,58.11
006,1997,38.5,58.78
006,1998,41.58,61.6
006,1999,40.12,61.51
006,2000,38.45,58.61
006,2001,39.61,60.88
006,2002,40.17,60.72
006,2003,38.42,57.9
006,2004,38.9,58.6
006,2005,39.24,59.75
006,2006,41.14,61.1
006,2007,39.22,59.82
006,2008,39.51,59.87
006,2009,39.13,58.52
006,2010,41.45,61.23
006,2011,40.97,60.72
006,2012,42.65,62.22
006,2013,39.98,59.57
006,2014,38.72,58.65
006,2015,39.21,60.44
006,2016,41.34,62.2
006,2017,41.2,60.68
006,2018,41.56,59.98
006,2019,40.16,59.36
006,2020,41.86,61.71
006,2021,41.92,60.87
006,2022,40.71,61.39
006,2023,20.78,37.38
007,1895,42.66,62.78
007,1896,44.26,63.51
007,1897,43.94,63.24
007,1898,45.28,64.18
007,1899,43.24,63.29
007,1900,45.18,65.14
007,1901,43.32,62.38
007,1902,43.62,63.38
007,1903,43.38,62.93
007,1904,41.04,60.79
007,1905,42.72,62.89
007,1906,45.16,63.72
007,1907,42.28,61.68
007,1908,44.02,63.99
007,1909,43.36,63.53
007,1910,43.53,63.11
007,1911,44.64,64.37
007,1912,43.07,62.85
007,1913,45.54,65.65
007,1914,42.93,63.23
007,1915,43.84,63.58
007,1916,43.38,62.74
007,1917,41.89,60.92
007,1918,43.23,63.62
007,1919,44.8,64.07
007,1920,43.43,62.46
007,1921,45.91,66.52
007,1922,44.98,63.69
007,1923,43.93,63.97
007,1924,42.48,62.21
007,1925,43.93,65.06
007,1926,42.19,62.7
007,1927,43.7,64.07
007,1928,43.48,63.62
007,1929,44.1,64.48
007,1930,43.91,65.49
007,1931,45.66,65.67
007,1932,44.49,65.58
