city,state,scientific_name,tree_count
Richmond,Virginia,Acer platanoides,171
Richmond,Virginia,Acer freemanii,161
Richmond,Virginia,Acer saccharinum,148
Richmond,Virginia,Tilia cordata,133
Richmond,Virginia,Other,975
Jersey City,New Jersey,Fraxinus pennsylvanica,111
Jersey City,New Jersey,Acer platanoides,101
Jersey City,New Jersey,Acer freemanii,92
Jersey City,New Jersey,Acer saccharinum,78
Jersey City,New Jersey,Tilia cordata,63
Jersey City,New Jersey,Other,329
Detroit,Michigan,Fraxinus pennsylvanica,1735
Detroit,Michigan,Acer platanoides,1276
Detroit,Michigan,Acer freemanii,1183
Detroit,Michigan,Acer saccharinum,981
Detroit,Michigan,Tilia cordata,980
Detroit,Michigan,Other,14220
Portland,Oregon,Fraxinus pennsylvanica,25635
Portland,Oregon,Acer platanoides,19209
Portland,Oregon,Acer freemanii,15475
Portland,Oregon,Acer saccharinum,11700
Portland,Oregon,Tilia cordata,10635
Portland,Oregon,Other,134097
Providence,Rhode Island,Fraxinus pennsylvanica,3054
Providence,Rhode Island,Acer platanoides,2792
Providence,Rhode Island,Acer freemanii,2050
Providence,Rhode Island,Acer saccharinum,1867
Providence,Rhode Island,Tilia cordata,1714
Providence,Rhode Island,Other,12605
San Jose,California,Fraxinus pennsylvanica,26291
San Jose,California,Acer platanoides,24316
San Jose,California,Acer freemanii,21636
San Jose,California,Acer saccharinum,14644
San Jose,California,Tilia cordata,9631
San Jose,California,Other,168288
Atlanta,Georgia,Fraxinus pennsylvanica,3678
Atlanta,Georgia,Acer platanoides,2581
Atlanta,Georgia,Acer freemanii,1742
Atlanta,Georgia,Acer saccharinum,1612
Atlanta,Georgia,Tilia cordata,1263
Atlanta,Georgia,Other,24859
AvondaleEstates,Georgia,Fraxinus pennsylvanica,27
AvondaleEstates,Georgia,Acer platanoides,24
AvondaleEstates,Georgia,Acer freemanii,23
AvondaleEstates,Georgia,Acer saccharinum,15
AvondaleEstates,Georgia,Tilia cordata,14
AvondaleEstates,Georgia,Other,183
Brookhaven,Georgia,Fraxinus pennsylvanica,19
Brookhaven,Georgia,Acer platanoides,11
Brookhaven,Georgia,Acer freemanii,8
Brookhaven,Georgia,Acer saccharinum,8
Brookhaven,Georgia,Tilia cordata,5
Brookhaven,Georgia,Other,55
CandlerMcAfee,Georgia,Fraxinus pennsylvanica,8
CandlerMcAfee,Georgia,Acer platanoides,6
CandlerMcAfee,Georgia,Acer freemanii,4
CandlerMcAfee,Georgia,Acer saccharinum,2
CandlerMcAfee,Georgia,Tilia cordata,1
CandlerMcAfee,Georgia,Other,7
Chamblee,Georgia,Fraxinus pennsylvanica,28
Chamblee,Georgia,Acer platanoides,16
Chamblee,Georgia,Acer freemanii,14
Chamblee,Georgia,Acer saccharinum,12
Chamblee,Georgia,Tilia cordata,10
Chamblee,Georgia,Other,34
Clarkston,Georgia,Fraxinus pennsylvanica,101
Clarkston,Georgia,Acer platanoides,79
Clarkston,Georgia,Acer freemanii,36
Clarkston,Georgia,Acer saccharinum,11
Clarkston,Georgia,Tilia cordata,4
Clarkston,Georgia,Other,0
CollegePark,Georgia,Fraxinus pennsylvanica,12
CollegePark,Georgia,Acer platanoides,10
CollegePark,Georgia,Acer freemanii,8
CollegePark,Georgia,Acer saccharinum,7
CollegePark,Georgia,Tilia cordata,7
CollegePark,Georgia,Other,59
